Time,Traj_X,Traj_Y,Traj_Z
67.76,0.360719,0.931497,0
67.765,0.360635,0.931541,0
67.77,0.36055,0.931586,0
67.775,0.360466,0.931631,0
67.78,0.360382,0.931675,0
67.785,0.360297,0.93172,0
67.79,0.360213,0.931765,0
67.795,0.360129,0.931809,0
67.8,0.360045,0.931854,0
67.805,0.35996,0.931899,0
67.81,0.359876,0.931943,0
67.815,0.359792,0.931988,0
67.82,0.359707,0.932033,0
67.825,0.359623,0.932077,0
67.83,0.359539,0.932122,0
67.835,0.359454,0.932166,0
67.84,0.35937,0.932211,0
67.845,0.359286,0.932256,0
67.85,0.359201,0.9323,0
67.855,0.359117,0.932345,0
67.86,0.359033,0.932389,0
67.865,0.358948,0.932434,0
67.87,0.358864,0.932479,0
67.875,0.35878,0.932523,0
67.88,0.358695,0.932568,0
67.885,0.358611,0.932612,0
67.89,0.358527,0.932657,0
67.895,0.358442,0.932701,0
67.9,0.358358,0.932746,0
67.905,0.358274,0.93279,0
67.91,0.358189,0.932835,0
67.915,0.358105,0.932879,0
67.92,0.35802,0.932924,0
67.925,0.357936,0.932968,0
67.93,0.357852,0.933013,0
67.935,0.357767,0.933057,0
67.94,0.357683,0.933102,0
67.945,0.357599,0.933146,0
67.95,0.357514,0.93319,0
67.955,0.35743,0.933235,0
67.96,0.357345,0.933279,0
67.965,0.357261,0.933324,0
67.97,0.357177,0.933368,0
67.975,0.357092,0.933413,0
67.98,0.357008,0.933457,0
67.985,0.356923,0.933501,0
67.99,0.356839,0.933546,0
67.995,0.356755,0.93359,0
68,0.35667,0.933635,0
68.005,0.356586,0.933679,0
68.01,0.356501,0.933723,0
68.015,0.356417,0.933768,0
68.02,0.356333,0.933812,0
68.025,0.356248,0.933856,0
68.03,0.356164,0.933901,0
68.035,0.356079,0.933945,0
68.04,0.355995,0.933989,0
68.045,0.35591,0.934034,0
68.05,0.355826,0.934078,0
68.055,0.355742,0.934122,0
68.06,0.355657,0.934166,0
68.065,0.355573,0.934211,0
68.07,0.355488,0.934255,0
68.075,0.355404,0.934299,0
68.08,0.355319,0.934344,0
68.085,0.355235,0.934388,0
68.09,0.35515,0.934432,0
68.095,0.355066,0.934476,0
68.1,0.354982,0.934521,0
68.105,0.354897,0.934565,0
68.11,0.354813,0.934609,0
68.115,0.354728,0.934653,0
68.12,0.354644,0.934697,0
68.125,0.354559,0.934742,0
68.13,0.354475,0.934786,0
68.135,0.35439,0.93483,0
68.14,0.354306,0.934874,0
68.145,0.354221,0.934918,0
68.15,0.354137,0.934963,0
68.155,0.354052,0.935007,0
68.16,0.353968,0.935051,0
68.165,0.353883,0.935095,0
68.17,0.353799,0.935139,0
68.175,0.353714,0.935183,0
68.18,0.35363,0.935227,0
68.185,0.353545,0.935272,0
68.19,0.353461,0.935316,0
68.195,0.353376,0.93536,0
68.2,0.353292,0.935404,0
68.205,0.353207,0.935448,0
68.21,0.353123,0.935492,0
68.215,0.353038,0.935536,0
68.22,0.352954,0.93558,0
68.225,0.352869,0.935624,0
68.23,0.352785,0.935668,0
68.235,0.3527,0.935712,0
68.24,0.352616,0.935756,0
68.245,0.352531,0.9358,0
68.25,0.352447,0.935844,0
68.255,0.352362,0.935888,0
68.26,0.352277,0.935932,0
68.265,0.352193,0.935976,0
68.27,0.352108,0.93602,0
68.275,0.352024,0.936064,0
68.28,0.351939,0.936108,0
68.285,0.351855,0.936152,0
68.29,0.35177,0.936196,0
68.295,0.351686,0.93624,0
68.3,0.351601,0.936284,0
68.305,0.351516,0.936328,0
68.31,0.351432,0.936372,0
68.315,0.351347,0.936416,0
68.32,0.351263,0.93646,0
68.325,0.351178,0.936504,0
68.33,0.351094,0.936548,0
68.335,0.351009,0.936592,0
68.34,0.350924,0.936636,0
68.345,0.35084,0.93668,0
68.35,0.350755,0.936724,0
68.355,0.350671,0.936767,0
68.36,0.350586,0.936811,0
68.365,0.350501,0.936855,0
68.37,0.350417,0.936899,0
68.375,0.350332,0.936943,0
68.38,0.350248,0.936987,0
68.385,0.350163,0.937031,0
68.39,0.350078,0.937074,0
68.395,0.349994,0.937118,0
68.4,0.349909,0.937162,0
68.405,0.349825,0.937206,0
68.41,0.34974,0.93725,0
68.415,0.349655,0.937293,0
68.42,0.349571,0.937337,0
68.425,0.349486,0.937381,0
68.43,0.349401,0.937425,0
68.435,0.349317,0.937469,0
68.44,0.349232,0.937512,0
68.445,0.349147,0.937556,0
68.45,0.349063,0.9376,0
68.455,0.348978,0.937644,0
68.46,0.348894,0.937687,0
68.465,0.348809,0.937731,0
68.47,0.348724,0.937775,0
68.475,0.34864,0.937819,0
68.48,0.348555,0.937862,0
68.485,0.34847,0.937906,0
68.49,0.348386,0.93795,0
68.495,0.348301,0.937993,0
68.5,0.348216,0.938037,0
68.505,0.348132,0.938081,0
68.51,0.348047,0.938124,0
68.515,0.347962,0.938168,0
68.52,0.347878,0.938212,0
68.525,0.347793,0.938255,0
68.53,0.347708,0.938299,0
68.535,0.347624,0.938343,0
68.54,0.347539,0.938386,0
68.545,0.347454,0.93843,0
68.55,0.347369,0.938473,0
68.555,0.347285,0.938517,0
68.56,0.3472,0.938561,0
68.565,0.347115,0.938604,0
68.57,0.347031,0.938648,0
68.575,0.346946,0.938691,0
68.58,0.346861,0.938735,0
68.585,0.346777,0.938779,0
68.59,0.346692,0.938822,0
68.595,0.346607,0.938866,0
68.6,0.346522,0.938909,0
68.605,0.346438,0.938953,0
68.61,0.346353,0.938996,0
68.615,0.346268,0.93904,0
68.62,0.346183,0.939083,0
68.625,0.346099,0.939127,0
68.63,0.346014,0.93917,0
68.635,0.345929,0.939214,0
68.64,0.345845,0.939257,0
68.645,0.34576,0.939301,0
68.65,0.345675,0.939344,0
68.655,0.34559,0.939388,0
68.66,0.345506,0.939431,0
68.665,0.345421,0.939475,0
68.67,0.345336,0.939518,0
68.675,0.345251,0.939562,0
68.68,0.345166,0.939605,0
68.685,0.345082,0.939648,0
68.69,0.344997,0.939692,0
68.695,0.344912,0.939735,0
68.7,0.344827,0.939779,0
68.705,0.344743,0.939822,0
68.71,0.344658,0.939865,0
68.715,0.344573,0.939909,0
68.72,0.344488,0.939952,0
68.725,0.344404,0.939996,0
68.73,0.344319,0.940039,0
68.735,0.344234,0.940082,0
68.74,0.344149,0.940126,0
68.745,0.344064,0.940169,0
68.75,0.34398,0.940212,0
68.755,0.343895,0.940256,0
68.76,0.34381,0.940299,0
68.765,0.343725,0.940342,0
68.77,0.34364,0.940386,0
68.775,0.343556,0.940429,0
68.78,0.343471,0.940472,0
68.785,0.343386,0.940515,0
68.79,0.343301,0.940559,0
68.795,0.343216,0.940602,0
68.8,0.343131,0.940645,0
68.805,0.343047,0.940689,0
68.81,0.342962,0.940732,0
68.815,0.342877,0.940775,0
68.82,0.342792,0.940818,0
68.825,0.342707,0.940862,0
68.83,0.342622,0.940905,0
68.835,0.342538,0.940948,0
68.84,0.342453,0.940991,0
68.845,0.342368,0.941034,0
68.85,0.342283,0.941078,0
68.855,0.342198,0.941121,0
68.86,0.342113,0.941164,0
68.865,0.342029,0.941207,0
68.87,0.341944,0.94125,0
68.875,0.341859,0.941293,0
68.88,0.341774,0.941337,0
68.885,0.341689,0.94138,0
68.89,0.341604,0.941423,0
68.895,0.341519,0.941466,0
68.9,0.341435,0.941509,0
68.905,0.34135,0.941552,0
68.91,0.341265,0.941595,0
68.915,0.34118,0.941638,0
68.92,0.341095,0.941682,0
68.925,0.34101,0.941725,0
68.93,0.340925,0.941768,0
68.935,0.34084,0.941811,0
68.94,0.340755,0.941854,0
68.945,0.340671,0.941897,0
68.95,0.340586,0.94194,0
68.955,0.340501,0.941983,0
68.96,0.340416,0.942026,0
68.965,0.340331,0.942069,0
68.97,0.340246,0.942112,0
68.975,0.340161,0.942155,0
68.98,0.340076,0.942198,0
68.985,0.339991,0.942241,0
68.99,0.339906,0.942284,0
68.995,0.339821,0.942327,0
69,0.339737,0.94237,0
69.005,0.339652,0.942413,0
69.01,0.339567,0.942456,0
69.015,0.339482,0.942499,0
69.02,0.339397,0.942542,0
69.025,0.339312,0.942585,0
69.03,0.339227,0.942628,0
69.035,0.339142,0.942671,0
69.04,0.339057,0.942714,0
69.045,0.338972,0.942757,0
69.05,0.338887,0.9428,0
69.055,0.338802,0.942843,0
69.06,0.338717,0.942886,0
69.065,0.338632,0.942928,0
69.07,0.338547,0.942971,0
69.075,0.338462,0.943014,0
69.08,0.338377,0.943057,0
69.085,0.338292,0.9431,0
69.09,0.338208,0.943143,0
69.095,0.338123,0.943186,0
69.1,0.338038,0.943229,0
69.105,0.337953,0.943271,0
69.11,0.337868,0.943314,0
69.115,0.337783,0.943357,0
69.12,0.337698,0.9434,0
69.125,0.337613,0.943443,0
69.13,0.337528,0.943486,0
69.135,0.337443,0.943528,0
69.14,0.337358,0.943571,0
69.145,0.337273,0.943614,0
69.15,0.337188,0.943657,0
69.155,0.337103,0.943699,0
69.16,0.337018,0.943742,0
69.165,0.336933,0.943785,0
69.17,0.336848,0.943828,0
69.175,0.336763,0.943871,0
69.18,0.336678,0.943913,0
69.185,0.336593,0.943956,0
69.19,0.336508,0.943999,0
69.195,0.336423,0.944041,0
69.2,0.336338,0.944084,0
