Time,Rocket_X,Rocket_Y,Rocket_Z
92.3,0.533126,-0.131765,0
92.4,0.53099,-0.131029,0
92.5,0.528843,-0.130291,0
92.6,0.526687,-0.12955,0
92.7,0.524522,-0.128806,0
92.8,0.522346,-0.128061,0
92.9,0.520161,-0.127313,0
93,0.517965,-0.126562,0
93.1,0.51576,-0.125809,0
93.2,0.513544,-0.125053,0
93.3,0.511318,-0.124295,0
93.4,0.509082,-0.123535,0
93.5,0.506835,-0.122772,0
93.6,0.504577,-0.122006,0
93.7,0.50231,-0.121238,0
93.8,0.500031,-0.120467,0
93.9,0.497741,-0.119694,0
94,0.495441,-0.118918,0
94.1,0.493129,-0.118139,0
94.2,0.490807,-0.117358,0
94.3,0.488473,-0.116574,0
94.4,0.486127,-0.115787,0
94.5,0.48377,-0.114997,0
94.6,0.481402,-0.114205,0
94.7,0.479022,-0.11341,0
94.8,0.47663,-0.112612,0
94.9,0.474226,-0.111811,0
95,0.47181,-0.111008,0
95.1,0.469381,-0.110201,0
95.2,0.466941,-0.109392,0
95.3,0.464487,-0.10858,0
95.4,0.462022,-0.107765,0
95.5,0.459543,-0.106947,0
95.6,0.457051,-0.106125,0
95.7,0.454547,-0.105301,0
95.8,0.452029,-0.104474,0
95.9,0.449498,-0.103644,0
96,0.446953,-0.10281,0
96.1,0.444395,-0.101973,0
96.2,0.441823,-0.101134,0
96.3,0.439237,-0.100291,0
96.4,0.436637,-0.0994444,0
96.5,0.434022,-0.0985949,0
96.6,0.431393,-0.0977421,0
96.7,0.428749,-0.0968859,0
96.8,0.42609,-0.0960264,0
96.9,0.423416,-0.0951635,0
97,0.420727,-0.0942972,0
97.1,0.418023,-0.0934274,0
97.2,0.415302,-0.0925541,0
97.3,0.412566,-0.0916772,0
97.4,0.409814,-0.0907967,0
97.5,0.407045,-0.0899127,0
97.6,0.40426,-0.0890249,0
97.7,0.401457,-0.0881335,0
97.8,0.398638,-0.0872383,0
97.9,0.395802,-0.0863393,0
98,0.392948,-0.0854365,0
98.1,0.390076,-0.0845299,0
98.2,0.387186,-0.0836193,0
98.3,0.384277,-0.0827047,0
98.4,0.38135,-0.0817861,0
98.5,0.378404,-0.0808634,0
98.6,0.375439,-0.0799366,0
98.7,0.372454,-0.0790057,0
98.8,0.369449,-0.0780705,0
98.9,0.366424,-0.0771311,0
99,0.363379,-0.0761873,0
99.1,0.360312,-0.0752391,0
99.2,0.357224,-0.0742864,0
99.3,0.354115,-0.0733293,0
99.4,0.350983,-0.0723676,0
99.5,0.347829,-0.0714012,0
99.6,0.344652,-0.0704301,0
99.7,0.341451,-0.0694543,0
99.8,0.338227,-0.0684736,0
99.9,0.334978,-0.067488,0
100,0.331705,-0.0664974,0
100.1,0.328406,-0.0655017,0
100.2,0.325082,-0.0645009,0
100.3,0.321731,-0.0634948,0
100.4,0.318353,-0.0624835,0
100.5,0.314948,-0.0614667,0
100.6,0.311514,-0.0604445,0
100.7,0.308052,-0.0594166,0
100.8,0.304561,-0.0583831,0
100.9,0.301039,-0.0573438,0
101,0.297486,-0.0562987,0
101.1,0.293902,-0.0552475,0
101.2,0.290285,-0.0541902,0
101.3,0.286635,-0.0531268,0
101.4,0.282951,-0.052057,0
101.5,0.279232,-0.0509807,0
101.6,0.275477,-0.0498979,0
101.7,0.271685,-0.0488084,0
101.8,0.267854,-0.047712,0
101.9,0.263985,-0.0466086,0
102,0.260075,-0.0454981,0
102.1,0.256123,-0.0443803,0
